Asset,Total Count,Total Value (USD)
kishu-inu,2.21E+11,0
kishu-inu,2.21E+11,0
kittenfinance,1242.771868,21624.23
kleros,1000,28.6
kleros,32990.05378,943.53
kondux-v2,11392,1485.49
kondux-v2,11392,1485.49
konomi-network,4862.879335,98.18
kyber-network,10.9709758,8.12
kyber-network,0.0032,0
landwolf,31873.41371,50.53
lever-network,944732.0288,3846.37
libra-credit,7.740375627,0
libra-credit,7.740375627,0
libra-credit,7.740375627,0
lido-dao,47.4473312,125.26
lido-dao,300,792
liquid-staking-derivative,3488.906436,86.45
liquid-staking-derivative,3488.906436,86.45
liquity,66206.79457,115199.82
liquity-usd,0.1,0.1
livepeer,0.016541741,0.27
livepeer,0.016541741,0.27
livepeer,0.016541741,0.27
local-coin-swap,15348.84877,1258.04
local-coin-swap,15348.84877,1258.04
lockchain,0.069031988,0.01
lockchain,0.069031988,0.01
loom-network,2.56E-08,0
loom-network,838.7,85.01
loom-network,2.56E-08,0
lords,283.0506918,48.78
lp-3pool-curve,1275586.01,1315129.18
lp-3pool-curve,3.89E-15,0
luckyinu,3.58E+11,0
luckyinu,3.58E+11,0
luffy-inu,1082113,83.71
lunch-money,133.089,0.03
maga-coin-eth,1420043.828,339.99
magic-internet-money,0.125137598,0.12
maker,0.020154459,72.11
maker,1.42E-06,0.01
marginswap,1125000,33286.1
martin-shkreli-inu,66400000,96.94
marutaro,944781.1104,3.23
marutaro,944781.1104,3.23
marvin-inu,82564591,94.12
mastermind,19990356.93,340.04
matic-network,27.90294583,24.95
matic-network,1340.369665,1198.53
matic-network,317.6904749,284.07
matic-network,1045.450371,934.82
matrix-ai-network,37320.54789,1555.66
maximus-dao,2000,6.59
megaweapon,99.2911766,84.65
melos-studio,3543904.91,6918.91
messi-coin,42208.37026,46.34
messi-coin,42208.37026,46.34
meta,259613.7649,7913.47
metal,0.00046716,0
metal,0.00046716,0
metal,0.00046716,0
meta-ruffy,37310812.53,34.33
metavisa,2000000000,766740
metis-token,13024.53753,1145247.59
mithril,2.5,0
mithril,2.5,0
mixmarvel,18759782.09,64105.18
mondo-community-coin,79006.015,969.66
monetha,310,0.8
mongoose,5.58E+20,0
mononoke-inu,360,0
mononoke-inu,360,0
multivac,1000,1.78
multivac,1000,1.78
musd,3.34E-15,0
muse-2,316.5387222,6030.06
mute,5.04E-14,0
mysterium,19999,3229.44
nebulas-token,0.689838704,0.01
nebulas-token,0.689838704,0.01
nebulas-token,0.689838704,0.01
nexo,11.06039033,14.05
nft-protocol,200,4.91
nft-protocol,200,4.91
nftx,0.01,0.18
nix-bridge-token,7.17E-16,0
noisegpt,1712.301215,96.52
nucleus-vision,800,0.13
nucleus-vision,800,0
nucleus-vision,12697.1,2.13
nusd,10.48626622,10.39
nusd,5.30E-11,0
oax,900,214.97
oax,900,214.97
odyssey,6,0
odyssey,3418,0.2
odyssey,9,0
odyssey,3442,0.2
offshift,25854.51985,16159.36
okb,1.805244381,102.85
old,1,0
old-bitcoin,2514.061986,18.31
old-bitcoin,2514.061986,18.31
omisego,65.868,62.62
omisego,66.0793601,62.82
omisego,29.04843077,27.62
omisego,116.8896673,111.12
omisego,8.983157105,8.54
omniaverse,791696.4384,754.72
oneledger,1060140.254,3421.98
openocean,21324391.54,440259.34
open-platform,267.4968,0.11
