Asset,Total Count,Total Value (USD)
pancakeswap-token,0.007450735,0.029579418
pancakeswap-token,2.734434916,10.85570662
parallax,37.88856747,1.449097897
paraswap,693.1280029,25.97226871
paribus,1417.665466,3.097428923
pegaxy-stone,1,0.01801428
peg-eusd,0.003479022,0.003116939
pendle,1381.505786,7142.384914
penpie,2095.629528,7753.829254
pepe,10313474.18,72.50372349
pepe-ai,12345.54321,0.000123455
peper,19343665.28,0
perpetual-protocol,83.7820995,108.0789084
perpy-finance,7057.432434,34.58360673
petroleum-oil,0.022478372,0.004539867
pickle-finance,9.42E-09,1.74E-08
pigcoin-2,519.47,0.063302614
pigcoin-2,165.52,0.020170267
pika-protocol,106.5277519,57.12358946
plsjones,0.00595696,0.088579995
plutus-arb,117.756984,101.8791033
plutusdao,1760.994396,102.4141511
plutus-dpx,0.787608041,20.76134796
plutus-rdnt,1.26E-11,0
pogai,156086.4274,11.03531042
poison-finance,108.7685263,15.28719883
poken,424.8206998,0.358310771
polka-city,17640,366.2298612
polydoge,2222,2.22E-05
polygon-bridged-usdt-polygon,979.881387,975.4621219
polygon-bridged-usdt-polygon,147.32693,146.6624855
polytrade,8.99335591,24.10219384
pooltogether,0.198791274,0.050543278
popcoin,0.400999985,1.60E-07
possum,38.18502812,0.037526718
post-tech,0.000730919,8.32E-07
premia,0.013887001,0.004663783
preon-star,0.105753115,0.105251739
pump-it-up,17.84827866,0.000449063
pump-it-up,36.1601943,0.00090979
qi-dao,0.090412076,0.002918146
qi-dao,3.557775992,0.114831027
quick,0.00010005,0.007971984
quick-intel,360.381436,29.08206112
radiant-capital,209.0756204,63.60707599
radio-caca,101208.9516,32.89594554
radio-caca,109042.1566,35.44197216
radpie,347.3746081,240.1258242
rai,3.61E-07,1.00E-06
ramses-exchange,856.0398971,83.43906481
rare-fnd,19.97585437,0.002014365
rare-fnd,19.97585437,0.002014365
rb-finance,4.448384218,0.704130289
realfinance-network,100,3.40E-05
reboot,10.32071839,0.379240474
rekt-04bbe51a-e290-450a-afb5-b2b43b80b20e,88443529.96,0
relay-token,75.11635544,7.693116659
renzo-restaked-eth,0.003836355,12.680074
reunit-wallet,74.887121,71.4192482
rimaunangis,1.5,0.03465765
risitas,8808.594864,0.030918168
rocket-pool,0.145266138,4.019364882
rocket-pool-eth,0.069202666,250.3108871
rodeo-finance,1785.58289,110.6454294
roseon,69.75388728,1.842047402
rosnet,133.4763336,85.46956808
ruby-play-network,600,0.636096
savvy-defi,1.708506235,0.886345699
savvy-eth,6.19E-05,0.213256642
savvy-usd,0.540066223,0.526044484
sector,3.478850612,0.147821546
seedify-fund,12.94969919,51.02181481
seneca,6303.704959,56.48894999
seneca-usd,0.123266682,0
seth,0.00608922,19.86741988
shambala,1014471.584,0
shambala,101524802.1,0
sheesha-finance,0.00089895,0.005285826
sheesha-finance-polygon,100,0.159922
shiba-inu,364050,9.545391
shiba-inu,93968.31234,2.46384915
shiba-inu,469755.2073,12.31698154
shibaken-finance,2.38E+12,0
shieldtokencoin,0.9,1.80E-07
shih-tzu,8.75E+14,0
shih-tzu,8.75E+14,0
silo-finance,269.5715154,27.27578507
size-2,276422.2313,4.0634068
skyplay,100,0.021026
skyplay,100,0.021026
smolcoin,18521076.07,115.0158824
solidlizard,3.523632922,0.023485366
sonne-finance,125.5359355,18.58747829
space-token-bsc,18.30865017,0.260185875
spacey-2025,0.65,0.028271412
spacey-2025,0.65,0.028271412
spartadex,0.074144747,0.043760304
spell-token,978.1147453,1.082587181
sperax,5225.153103,93.61352948
sperax-usd,2.336391182,2.327340003
spool-dao-token,31.38275238,10.28717208
stacktical,267.8988429,0.251286436
stader-maticx,0.253237542,0.252260552
staked-ageur,19.4878479,21.12482712
staked-bifi,0.001088698,0.440781159
staked-frax,0.218459195,0.22260992
staked-frax-ether,0.000376553,1.316143108
standard-token,258.7757443,1.051975156
stargate-finance,21.81601199,15.03515914
