JSON File,Asset,Total Count
filter_operateBlocknumber.json,dmail-network,8.1926
filter_operateBlocknumber.json,binance-peg-busd,1380.383668
filter_operateBlocknumber.json,nfty-token,770.0547494
filter_operateBlocknumber.json,ix-token,4779.753061
filter_operateBlocknumber.json,bonfire,624019611.8
filter_operateBlocknumber.json,pancakeswap-token,0.007450735
filter_operateBlocknumber.json,pacoca,1
filter_operateBlocknumber.json,liquidus,60736.1397
filter_operateBlocknumber.json,weth,0.23715799
filter_operateBlocknumber.json,angry-birds,0.389624
filter_operateBlocknumber.json,medieus,0.25
filter_operateBlocknumber.json,dinoswap,93.907
filter_operateBlocknumber.json,swtcoin,20000
filter_operateBlocknumber.json,biswap,0.5
filter_operateBlocknumber.json,aavegotchi,0.135796076
filter_operateBlocknumber.json,chainlink,0.017692066
filter_operateBlocknumber.json,stader-maticx,0.253237542
filter_operateBlocknumber.json,bitrise-token,43366400
filter_operateBlocknumber.json,spacey-2025,0.65
filter_operateBlocknumber.json,vbswap,1.00E-12
filter_operateBlocknumber.json,ethermon,53766.25406
filter_operateBlocknumber.json,swingby,500000
filter_operateBlocknumber.json,moonpot-finance,100000
filter_operateBlocknumber.json,army-of-fortune-metaverse,500
filter_operateBlocknumber.json,arbitrum,499.481
filter_operateBlocknumber.json,optimism,800.47863
filter_operateBlocknumber.json,magic-internet-money,1000
filter_operateBlocknumber.json,upfire,0.0012
filter_operateBlocknumber.json,cookies-protocol,100
filter_operateBlocknumber.json,water-2,10
filter_operateBlocknumber.json,voxies,0.001146864
filter_operateBlocknumber.json,omniaverse,404
filter_operateBlocknumber.json,yooshi,91009753.67
filter_operateBlocknumber.json,freedom-coin,7505012.114
filter_operateBlocknumber.json,multivac,100
filter_operateBlocknumber.json,wall-street-games,500000
filter_operateBlocknumber.json,core,1000
filter_operateBlocknumber.json,anyswap,1
filter_operateBlocknumber.json,megaweapon,99.2911766
filter_operateBlocknumber.json,doggy,20293.8
filter_operateBlocknumber.json,mother-of-memes,500000000
filter_reentrancy.json,binance-coin,108.9760723
filter_reentrancy.json,matic-network,18691.28444
filter_reentrancy.json,wbnb,0.0035
filter_reentrancy.json,vbswap,8.00E-12
filter_reentrancy.json,weth,1.860042349
filter_reentrancy.json,mobox,6.908792576
filter_reentrancy.json,dpex,200
filter_reentrancy.json,sheesha-finance-polygon,100
filter_reentrancy.json,polydoge,2222
filter_reentrancy.json,inftspace,500000
filter_reentrancy.json,avalanche-2,29.73295075
filter_reentrancy.json,bridged-usdc-polygon-pos-bridge,10.99
filter_reentrancy.json,binance-peg-cardano,7.926651138
filter_reentrancy.json,binance-bridged-usdt-bnb-smart-chain,16018.01795
filter_reentrancy.json,catecoin,143610762.7
filter_reentrancy.json,binance-peg-busd,1717.714796
