JSON File,Asset,Total Count,Total Value (USD)
filter_const-address.json,kanagawa-nami,250000,0.1
filter_const-address.json,,0,0.27
filter_constant-chainID.json,keep-network,18891027.69,0.27
filter_reentrancy.json,kelvpn,1040269.726,0.27
filter_operateBlocknumber.json,kiba-inu,220226116.7,1258.04
filter_operateBlocknumber.json,kimchi-finance,2282599973,1258.04
filter_const-address.json,,0,0.01
filter_constant-chainID.json,kin,16679.99262,0.01
filter_reentrancy.json,kin,21098733074,0
filter_reentrancy.json,kishimoto,2694383096,85.01
filter_const-address.json,kishu-inu,2.21E+11,0
filter_reentrancy.json,kishu-inu,2.21E+11,48.78
filter_reentrancy.json,kittenfinance,1242.771868,1315129.18
filter_operateBlocknumber.json,kleros,32990.05378,0
filter_constant-chainID.json,kleros,1000,0
filter_const-address.json,kondux-v2,11392,0
filter_reentrancy.json,kondux-v2,11392,83.71
filter_const-address.json,konomi-network,4862.879335,0.03
filter_const-address.json,kyber-network,10.9709758,339.99
filter_operateBlocknumber.json,kyber-network,0.0032,0.12
filter_const-address.json,landwolf,31873.41371,72.11
filter_reentrancy.json,lever-network,944732.0288,0.01
filter_operateBlocknumber.json,libra-credit,7.740375627,33286.1
filter_reentrancy.json,libra-credit,7.740375627,96.94
filter_constant-chainID.json,libra-credit,7.740375627,3.23
filter_reentrancy.json,lido-dao,300,3.23
filter_const-address.json,lido-dao,47.4473312,94.12
filter_reentrancy.json,liquid-staking-derivative,3488.906436,340.04
filter_const-address.json,liquid-staking-derivative,3488.906436,24.95
filter_const-address.json,liquity,66206.79457,1198.53
filter_const-address.json,liquity-usd,0.1,284.07
filter_reentrancy.json,livepeer,0.016541741,934.82
filter_constant-chainID.json,livepeer,0.016541741,1555.66
filter_operateBlocknumber.json,livepeer,0.016541741,6.59
filter_constant-chainID.json,local-coin-swap,15348.84877,84.65
filter_reentrancy.json,local-coin-swap,15348.84877,6918.91
filter_reentrancy.json,lockchain,0.069031988,46.34
filter_constant-chainID.json,lockchain,0.069031988,46.34
filter_constant-chainID.json,loom-network,2.56E-08,7913.47
filter_operateBlocknumber.json,loom-network,838.7,0
filter_reentrancy.json,loom-network,2.56E-08,0
filter_reentrancy.json,lords,283.0506918,0
filter_const-address.json,lp-3pool-curve,1275586.01,34.33
filter_operateBlocknumber.json,lp-3pool-curve,3.89E-15,766740
filter_const-address.json,luckyinu,3.58E+11,1145247.59
filter_reentrancy.json,luckyinu,3.58E+11,0
filter_reentrancy.json,luffy-inu,1082113,0
filter_constant-chainID.json,lunch-money,133.089,64105.18
filter_operateBlocknumber.json,maga-coin-eth,1420043.828,969.66
filter_const-address.json,magic-internet-money,0.125137598,0.8
filter_reentrancy.json,maker,1.42E-06,0
filter_const-address.json,maker,0.020154459,0
filter_reentrancy.json,marginswap,1125000,0
filter_operateBlocknumber.json,martin-shkreli-inu,66400000,1.78
filter_reentrancy.json,marutaro,944781.1104,1.78
filter_const-address.json,marutaro,944781.1104,0
filter_const-address.json,marvin-inu,82564591,6030.06
filter_operateBlocknumber.json,mastermind,19990356.93,0
filter_operateBlocknumber.json,matic-network,317.6904749,3229.44
filter_constant-chainID.json,matic-network,1340.369665,0.01
filter_reentrancy.json,matic-network,1045.450371,0.01
filter_const-address.json,matic-network,27.90294583,0.01
filter_reentrancy.json,matrix-ai-network,37320.54789,14.05
filter_const-address.json,maximus-dao,2000,4.91
filter_operateBlocknumber.json,megaweapon,99.2911766,4.91
filter_operateBlocknumber.json,melos-studio,3543904.91,0.18
filter_const-address.json,messi-coin,42208.37026,0
filter_operateBlocknumber.json,,0,96.52
filter_reentrancy.json,messi-coin,42208.37026,0.13
filter_operateBlocknumber.json,meta,259613.7649,0
filter_constant-chainID.json,metal,0.00046716,2.13
filter_reentrancy.json,metal,0.00046716,10.39
filter_operateBlocknumber.json,metal,0.00046716,0
filter_reentrancy.json,meta-ruffy,37310812.53,214.97
filter_const-address.json,metavisa,2000000000,214.97
filter_reentrancy.json,metis-token,13024.53753,0
filter_reentrancy.json,mithril,2.5,0.2
filter_constant-chainID.json,mithril,2.5,0
filter_reentrancy.json,mixmarvel,18759782.09,0.2
